City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Luau,AO,-10.7073,22.2247,67.32,92,86,3.58,overcast clouds
157,Makat,KZ,47.6469,53.3463,31.06,58,99,14.81,overcast clouds
158,Yar-Sale,RU,66.8333,70.8333,-7.67,96,65,7.63,broken clouds
159,Bengkulu,ID,-3.8004,102.2655,85.66,63,100,10.45,light rain
160,Cobija,BO,-11.0267,-68.7692,74.43,90,89,0.98,overcast clouds
161,Cap-Aux-Meules,CA,47.3821,-61.8597,44.62,100,100,10.36,overcast clouds
162,Korla,CN,41.7597,86.1469,37.67,49,100,2.28,overcast clouds
163,Urengoy,RU,65.9667,78.3667,-12.19,96,33,7.9,scattered clouds
164,Bredasdorp,ZA,-34.5322,20.0403,60.98,87,100,8.79,moderate rain
165,Quedlinburg,DE,51.7833,11.15,33.73,86,98,9.22,overcast clouds
166,Buraydah,SA,26.326,43.975,61.25,38,0,10.45,clear sky
167,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,74,16,7.94,few clouds
168,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.48,99,97,1.57,overcast clouds
169,Cape Town,ZA,-33.9258,18.4232,61.21,88,20,17.27,few clouds
170,Taoudenni,ML,22.6783,-3.9836,76.86,33,89,7.81,overcast clouds
171,Guanica,PR,17.9716,-66.908,72.88,72,39,4.21,scattered clouds
172,Ruwi,OM,23.5996,58.5507,80.29,40,50,2.42,scattered clouds
173,Nipawin,CA,53.3668,-104.0009,37.44,70,90,11.5,overcast clouds
174,Geraldton,AU,-28.7667,114.6,102.61,11,14,17.27,few clouds
175,Naze,JP,28.3667,129.4833,67.12,59,84,17.45,broken clouds
176,Okhotsk,RU,59.3833,143.3,-3.68,75,10,9.55,clear sky
177,Ferrol,ES,43.4832,-8.2369,48.45,71,73,26.11,light rain
178,Paka,MY,4.6374,103.4368,80.53,78,20,5.75,few clouds
179,Ust-Kuyga,RU,70.0167,135.6,-17.03,98,76,3.91,broken clouds
180,Cayenne,GF,4.9333,-52.3333,77.04,94,75,2.3,broken clouds
181,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,0,20.71,light rain
182,Tilichiki,RU,60.4667,166.1,-5.3,99,77,10.36,light snow
183,Dingle,PH,10.9995,122.6711,84.69,76,100,13.87,overcast clouds
184,Upernavik,GL,72.7868,-56.1549,15.04,84,100,9.75,overcast clouds
185,Fortuna,US,40.5982,-124.1573,47.32,93,40,5.75,scattered clouds
186,Batticaloa,LK,7.7102,81.6924,83.26,75,71,5.68,broken clouds
187,Butaritari,KI,3.0707,172.7902,82.35,74,84,17.18,broken clouds
188,Avarua,CK,-21.2078,-159.775,80.65,83,20,2.3,light rain
189,Aguas Vermelhas,BR,-15.7472,-41.46,59.34,82,57,3.51,broken clouds
190,Truth Or Consequences,US,33.1284,-107.2528,48.43,46,1,6.91,clear sky
191,Leningradskiy,RU,69.3833,178.4167,-22.47,93,13,5.7,few clouds
192,Puerto Lopez,CO,4.0845,-72.956,72.21,94,76,3.67,broken clouds
193,Tautira,PF,-17.7333,-149.15,82.42,75,17,16.53,few clouds
194,Saint-Augustin,CA,51.226,-58.6502,43.45,97,100,12.75,overcast clouds
195,Znamenskoye,RU,57.1281,73.8282,20.82,91,100,12.39,overcast clouds
196,Alta Floresta,BR,-9.8756,-56.0861,70.77,98,72,2.06,broken clouds
197,Salgueiro,BR,-8.0742,-39.1192,77.07,68,55,8.39,light rain
198,Lata,PT,40.1629,-8.3327,41.41,96,95,4.43,overcast clouds
199,Buchanan,LR,5.8808,-10.0467,76.96,86,20,4.23,light rain
200,Acapulco,MX,16.8634,-99.8901,76.21,86,59,3.89,broken clouds
