City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Noumea,NC,89.58,few clouds,-22.2763,166.4572,Hôtel Le Lagon
369,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
372,Sorong,ID,84.6,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
380,Marawi,PH,75.99,broken clouds,7.9986,124.2928,Derogongan Residence
381,Ipixuna,BR,76.95,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
383,Portmore,JM,78.76,few clouds,17.9702,-76.8672,Salmon Way Inn
384,Depalpur,IN,79.2,few clouds,22.85,75.55,222 Shiv palace शिव पैलेस
386,Quatre Cocos,MU,82.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
396,Kanker,IN,78.78,broken clouds,20.2719,81.4931,STARiHOTEL Kanker
398,Chabahar,IR,78.39,few clouds,25.2919,60.643,هتل گدروشیا
400,Candolim,IN,82.4,broken clouds,15.5181,73.7626,Resort Terra Paraiso
405,Mogadishu,SO,75.07,drizzle,2.0371,45.3438,Hotel Juba
406,Pangai,TO,77.11,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
407,Waingapu,ID,86.27,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
408,Banda Aceh,ID,83.7,broken clouds,5.5577,95.3222,Sulthan Hotel International
409,Japura,ID,87.35,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
410,Itarema,BR,80.35,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
411,Binga,ZW,75.54,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
419,Balikpapan,ID,85.19,scattered clouds,-1.2675,116.8289,ibis Balikpapan
