City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Arraial Do Cabo,BR,2021-11-23 19:41:57,-22.9661,-42.0278,84.16,73,0,13.8
109,Clyde River,CA,2021-11-23 19:36:54,70.4692,-68.5914,17.83,93,75,21.85
110,Bethel,US,2021-11-23 19:45:12,41.3712,-73.414,42.03,42,25,3.0
111,Alice Springs,AU,2021-11-23 19:43:14,-23.7,133.8833,63.95,94,90,16.11
112,Port Keats,AU,2021-11-23 19:45:12,-14.25,129.55,82.76,78,99,5.39
113,Saint-Philippe,RE,2021-11-23 19:45:13,-21.3585,55.7679,74.79,79,43,9.75
114,General Roca,AR,2021-11-23 19:45:14,-39.0333,-67.5833,93.61,12,10,8.34
115,Touros,BR,2021-11-23 19:45:14,-5.1989,-35.4608,85.1,75,51,13.56
116,Whitianga,NZ,2021-11-23 19:45:14,-36.8333,175.7,63.01,80,96,5.93
117,Bambous Virieux,MU,2021-11-23 19:36:56,-20.3428,57.7575,75.45,78,40,2.3
118,Faanui,PF,2021-11-23 19:45:15,-16.4833,-151.75,80.4,71,46,3.78
119,Sao Gabriel Da Cachoeira,BR,2021-11-23 19:45:15,-0.1303,-67.0892,82.2,83,40,8.05
120,Menongue,AO,2021-11-23 19:45:16,-14.6585,17.691,67.96,55,16,4.97
121,Pontes E Lacerda,BR,2021-11-23 19:45:16,-15.2261,-59.3353,87.12,60,100,4.88
122,Torbat-E Jam,IR,2021-11-23 19:45:17,35.244,60.6225,52.97,49,5,3.6
123,Nalut,LY,2021-11-23 19:45:18,30.3333,10.85,66.58,44,84,5.86
124,Nhulunbuy,AU,2021-11-23 19:45:18,-12.2333,136.7667,77.61,83,73,0.0
125,Airai,TL,2021-11-23 19:45:19,-8.9266,125.4092,60.71,84,100,1.14
126,Truro,GB,2021-11-23 19:45:19,50.2653,-5.0544,45.55,87,20,6.91
127,Sharjah,AE,2021-11-23 19:45:20,25.3573,55.4033,82.38,72,0,3.44
128,Bauchi,NG,2021-11-23 19:45:20,10.5,10.0,78.55,24,100,4.27
129,Roald,NO,2021-11-23 19:45:20,62.5833,6.1333,48.34,87,75,25.32
130,Grojec,PL,2021-11-23 19:41:15,51.8625,20.8676,40.48,92,100,8.28
131,Sao Goncalo Do Amarante,BR,2021-11-23 19:45:21,-3.6072,-38.9683,86.04,69,69,11.41
132,Akcaabat,TR,2021-11-23 19:45:21,41.0212,39.5715,58.87,51,75,5.75
133,Eskil,TR,2021-11-23 19:45:22,38.4017,33.4131,51.85,63,99,9.17
